"Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2012&sourcekey=0"
"Thu May 14 2026 22:12:53 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","Growth (2010-2035)"
Motor Gasoline,"Energy Prices: Nominal: Transportation: Motor Gasoline": Reference case,,"nom $/mill Btu",19.294161,22.696596,28.907393,28.321089,28.316061,30.145182,31.534037,32.430984,33.456867,34.332481,35.199917,36.165695,37.061333,37.896042,38.934414,39.965916,41.18787,42.310394,43.07568,44.24123,45.617767,47.00951,48.808941,50.681461,50.659279,51.633286,53.220192,"3.5%"
Jet Fuel,"Energy Prices: Nominal: Transportation: Jet Fuel": Reference case,,"nom $/mill Btu",12.608601,16.22015,22.783937,22.477203,22.54282,24.222754,25.58161,26.498068,27.44315,28.117798,28.832472,29.684845,30.492792,31.269438,32.101574,32.944584,33.941826,34.904652,35.855789,36.856976,38.122032,39.248585,40.936588,42.521461,43.083519,44.448578,46.116467,"4.3%"
Diesel Fuel (distillate fuel oil),"Energy Prices: Nominal: Transportation: Diesel Fuel": Reference case,,"nom $/mill Btu",17.818462,21.867241,28.304022,28.28779,26.20977,28.253511,29.693001,30.620073,31.590004,32.503075,33.22123,34.060726,34.956215,35.831738,36.761684,37.707195,39.026264,40.123058,40.809196,41.965534,43.279179,44.655453,46.629234,48.531387,48.618652,49.541573,51.294785,"3.5%"
Residual Fuel Oil,"Energy Prices: Nominal: Transportation: Residual Fuel Oil": Reference case,,"nom $/mill Btu",10.489314,10.422447,15.02112,15.471419,16.954514,18.532934,19.73513,20.404036,21.185139,21.731194,22.353945,23.008894,23.588615,24.494991,25.201405,25.806618,26.454201,26.906225,27.342344,28.147997,28.830896,29.545958,30.292227,31.049908,31.328308,32.280952,33.175331,"4.7%"
Natural Gas,"Energy Prices: Nominal: Transportation: Natural Gas": Reference case,,"nom $/mill Btu",14.005658,13.204145,12.786282,12.452969,12.743171,13.015522,13.364082,13.548283,13.75643,14.030565,14.356129,14.69165,15.189743,15.74203,16.212645,16.600014,17.049099,17.502691,17.98502,18.434511,18.924099,19.467527,20.06875,20.713673,21.263073,22.126354,22.968227,"2.2%"
Electricity,"Energy Prices: Nominal: Transportation: Electricity": Reference case,,"nom $/mill Btu",35.306698,32.986774,31.711172,32.353966,32.097214,32.264729,32.860767,33.226444,33.438103,33.799236,34.07378,34.947346,35.820843,36.854649,38.099823,39.345051,40.458958,41.565769,42.651455,43.795437,45.107315,46.312939,47.645226,48.906643,50.108971,51.766022,53.548176,"2.0%"
Electric Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distillate Fuel Oil,"Energy Prices: Nominal: Electric Power: Distillate Fuel Oil": Reference case,,"nom $/mill Btu",14.374014,18.731688,23.826002,24.306753,21.498827,23.268475,24.530312,25.360239,26.251551,26.914057,27.590679,28.415707,29.18412,29.92552,30.70554,31.509815,32.520073,33.439556,34.315834,35.303753,36.466797,37.60989,39.33025,40.767353,41.129482,42.473072,44.02198,"3.5%"
Residual Fuel Oil,"Energy Prices: Nominal: Electric Power: Residual Fuel Oil": Reference case,,"nom $/mill Btu",8.877719,11.892291,18.552338,18.112785,21.475027,23.164473,24.782835,25.576712,26.483147,27.160225,27.891317,28.655996,29.334919,30.234972,31.049593,31.794424,32.591938,33.218243,33.842682,34.811359,35.651409,36.367676,37.294479,38.164234,38.523293,39.677582,40.727337,"5.0%"
Natural Gas,"Energy Prices: Nominal: Electric Power: Natural Gas": Reference case,,"nom $/mill Btu",4.797652,5.138942,4.762629,4.505197,4.61123,4.647332,4.901453,4.923141,4.997774,5.127772,5.329133,5.548711,5.888755,6.283181,6.616504,6.880828,7.190406,7.507095,7.845081,8.12946,8.466565,8.836596,9.24034,9.681713,10.055733,10.763363,11.417163,"3.2%"
Steam Coal,"Energy Prices: Nominal: Electric Power: Steam Coal": Reference case,,"nom $/mill Btu",2.19,2.26,2.392355,2.463897,2.469014,2.52375,2.529113,2.562258,2.64215,2.704767,2.761836,2.829412,2.915439,2.984316,3.070935,3.160713,3.254647,3.341914,3.431511,3.551337,3.663833,3.782786,3.916428,4.0454,4.138741,4.273166,4.427427,"2.7%"
Average Price to All Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Nominal: Average Price to All Users: Liquefied Petroleum Gases": Reference case,,"nom $/mill Btu",15.944384,17.284765,20.133373,20.20072,22.954922,23.888844,24.775581,24.761703,25.371321,25.874458,26.459053,27.103901,27.822149,28.673302,29.467682,30.228525,31.039984,31.874649,32.749115,33.646858,34.758583,35.904606,37.151497,38.394257,39.478477,40.844578,42.172131,"3.6%"
E85,"Energy Prices: Nominal: Average Price to All Users: E85": Reference case,,"nom $/mill Btu",20.518013,25.206087,32.971176,32.303928,28.049995,29.887926,31.280424,32.179852,33.198929,31.766829,33.546867,35.14782,35.636101,34.448879,35.539318,36.280426,36.969517,38.722576,39.117023,42.166477,42.798279,43.765102,45.907684,48.019787,47.864723,49.151958,50.612759,"2.8%"
Motor Gasoline,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": Reference case,,"nom $/mill Btu",19.246832,22.593304,28.761116,28.228403,28.314306,30.143675,31.532232,32.42926,33.455051,34.330666,35.198071,36.16399,37.059555,37.89444,38.932709,39.964191,41.186295,42.308849,43.074081,44.239773,45.616138,47.008434,48.808147,50.680412,50.656609,51.63052,53.216999,"3.5%"
Jet Fuel,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": Reference case,,"nom $/mill Btu",12.608601,16.22015,22.783937,22.477203,22.54282,24.222754,25.58161,26.498068,27.44315,28.117798,28.832472,29.684845,30.492792,31.269438,32.101574,32.944584,33.941826,34.904652,35.855789,36.856976,38.122032,39.248585,40.936588,42.521461,43.083519,44.448578,46.116467,"4.3%"
Distillate Fuel Oil,"Energy Prices: Nominal: Average Price to All Users: Distillate Fuel Oil": Reference case,,"nom $/mill Btu",17.531406,21.647432,27.860914,28.019754,25.498947,27.52643,28.957018,29.893141,30.868748,31.770115,32.488087,33.331623,34.21756,35.091278,36.015827,36.960972,38.242752,39.35009,40.08643,41.24934,42.57719,43.935829,45.91066,47.747944,47.818447,48.773518,50.521488,"3.4%"
Residual Fuel Oil,"Energy Prices: Nominal: Average Price to All Users: Residual Fuel Oil": Reference case,,"nom $/mill Btu",10.393044,10.81597,15.796884,16.055393,17.619978,19.217731,20.481226,21.193047,21.985357,22.558788,23.20083,23.867481,24.467321,25.310919,26.028498,26.661118,27.337122,27.83897,28.332119,29.16712,29.898115,30.635818,31.429853,32.109165,32.374439,33.372787,34.331711,"4.7%"
Natural Gas,"Energy Prices: Nominal: Average Price to All Users: Natural Gas": Reference case,,"nom $/mill Btu",7.282907,7.161864,6.686585,6.572259,6.716677,6.701286,6.945213,7.058144,7.209893,7.412021,7.663892,7.955092,8.379306,8.860567,9.259192,9.569021,9.931273,10.298497,10.671429,11.005487,11.388295,11.813982,12.285342,12.791203,13.23061,13.995305,14.72519,"2.9%"
Metallurgical Coal,"Energy Prices: Nominal: Average Price to All Users: Metallurgical Coal": Reference case,,"nom $/mill Btu",5.43,5.840001,6.422029,6.958942,6.958448,7.401939,7.779522,7.996388,8.294358,8.405788,8.619589,8.910419,9.17713,9.396204,9.768107,10.048082,10.400744,10.719543,11.072125,11.485313,11.847143,12.25608,12.696069,13.09624,13.483019,13.946831,14.424875,"3.7%"
Other Coal,"Energy Prices: Nominal: Average Price to All Users: Other Coal": Reference case,,"nom $/mill Btu",2.234683,2.288076,2.437577,2.514446,2.519184,2.581664,2.597082,2.631029,2.711012,2.773124,2.830977,2.898787,2.984002,3.051615,3.14011,3.229999,3.324204,3.412407,3.503695,3.624409,3.738329,3.858131,3.993085,4.123189,4.217457,4.353819,4.510176,"2.8%"
Coal to Liquids,"Energy Prices: Nominal: Average Price to All Users: Coal to Liquids": Reference case,,"nom $/mill Btu",0,0,0,0,0,0,1.356633,2.166003,2.23823,2.291503,2.344033,2.406979,2.438935,2.478988,2.546325,2.610139,2.673632,2.743805,2.833502,2.934814,3.037332,3.162989,3.314727,3.451082,3.512378,3.634135,3.775047,"- -"
Electricity,"Energy Prices: Nominal: Average Price to All Users: Electricity": Reference case,,"nom $/mill Btu",28.683828,28.675364,29.113771,29.07155,29.400898,29.780832,30.577793,31.168161,31.544542,31.999046,32.345921,33.013851,33.670837,34.339142,35.163662,35.973545,36.61821,37.317448,38.084373,38.869072,39.803417,40.772411,41.906872,43.001526,43.899261,45.300671,46.804291,"2.0%"
Non-Renewable Energy Expenditures by Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(billion nominal dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential,"Energy Expenditures: Nominal: Non-Renewable Residential": Reference case,,"bill nom $",238.131577,251.694733,258.386444,257.901825,255.604233,258.862305,265.849487,271.096313,276.290253,282.526215,288.480896,295.886353,304.164734,313.094971,322.594116,332.277649,342.262299,352.74884,363.680084,374.640564,386.426941,398.74704,412.917908,426.852936,438.553894,455.315338,472.992615,"2.6%"
Commercial,"Energy Expenditures: Nominal: Non-Renewable Commercial": Reference case,,"bill nom $",175.10939,179.084808,183.024185,181.332214,181.258728,184.883942,191.714752,197.114044,201.998489,207.778595,213.220749,220.433319,228.164093,236.008789,244.186798,251.898209,259.044403,266.582153,274.539062,282.887207,292.719482,302.972137,314.520172,326.237762,336.578674,351.512848,367.310547,"2.9%"
Industrial,"Energy Expenditures: Nominal: Non-Renewable Industrial": Reference case,,"bill nom $",182.289795,198.978027,215.563004,218.960587,209.014191,227.465729,241.238037,248.033752,255.398865,263.198151,271.755951,281.752289,293.273193,306.358337,316.530579,325.752686,336.062408,344.804901,353.241882,362.290649,372.234497,382.255707,395.160706,407.808655,415.549377,430.893982,447.006012,"3.3%"
Transportation,"Energy Expenditures: Nominal: Non-Renewable Transportation": Reference case,,"bill nom $",474.185211,573.784851,728.654663,722.040649,714.101929,766.880371,804.74646,828.231567,852.245972,867.911682,886.359192,906.016052,923.803406,946.160278,972.392273,998.459106,1030.983765,1059.685791,1081.236816,1108.207886,1145.13208,1181.109741,1221.827759,1257.798584,1273.142822,1307.926514,1356.414185,"3.5%"
Total Non-Renewable Expenditures,"Energy Expenditures: Nominal: Total Non-Renewable": Reference case,,"bill nom $",1069.715942,1203.54248,1385.628174,1380.235352,1359.979126,1438.092407,1503.548706,1544.475708,1585.933594,1621.414673,1659.816772,1704.088013,1749.405518,1801.622314,1855.703613,1908.387573,1968.352661,2023.821655,2072.697998,2128.026367,2196.512939,2265.084473,2344.426514,2418.697998,2463.824707,2545.648682,2643.723389,"3.2%"
Transportation Renewable Expenditures,"Energy Expenditures: Nominal: Renewable Transportation": Reference case,,"bill nom $",0.067258,0.078372,0.103421,0.112908,0.204627,0.238834,0.269867,0.297619,0.326651,2.652838,2.72411,4.434599,7.834006,8.893506,9.485304,10.014328,11.210208,14.323736,17.288755,25.162504,27.101759,31.311193,43.23745,59.74168,55.092884,57.173065,61.531788,"30.6%"
Total Expenditures,"Energy Expenditures: Nominal: Total Non-Renewable with Renewable Transportation": Reference case,,"bill nom $",1069.783203,1203.62085,1385.731689,1380.348267,1360.183594,1438.331299,1503.818604,1544.773315,1586.260254,1624.067383,1662.541016,1708.522583,1757.239502,1810.515747,1865.188965,1918.401855,1979.562988,2038.145386,2089.986816,2153.188965,2223.614746,2296.395752,2387.663818,2478.439453,2518.917725,2602.821777,2705.255127,"3.3%"
